image,panel_id,x,y,z
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,1,0.1103,-0.0652,0.3137
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,2,0.0906,-0.0069,0.2588
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,3,0.1103,-0.1132,0.3137
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,4,0.0439,0.0194,0.1255
DJI_20220410132145_0003_T_JPG.rf.0ccf4b93f6d45b705a0dc283910cc81c.jpg,5,0.1606,0.1513,0.4588
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,1,0.0362,-0.0107,0.102
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,2,0.0431,0.0095,0.1216
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,3,0.0612,0.045,0.1725
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,4,0.1232,0.1358,0.349
DJI_20220410132148_0004_T_JPG.rf.31565434f961c5abdcf78903b4d14c28.jpg,5,0.0489,-0.0392,0.1373
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,1,-0.0084,-0.0061,0.051
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,2,0.0786,-0.025,0.2196
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,3,0.0459,0.0091,0.1294
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,4,0.121,0.0858,0.3412
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,5,0.1122,0.1226,0.3176
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,6,-0.0675,-0.1241,0.4157
DJI_20220410132154_0006_T_JPG.rf.7bf57dca6857846036bd02a5df2c151f.jpg,7,0.0796,-0.066,0.2235
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,1,-0.1142,-0.027,0.3137
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,2,0.0384,-0.0318,0.3843
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,3,-0.1075,0.0294,0.2941
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,4,0.0365,0.037,0.3647
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,5,-0.0924,0.0713,0.2549
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,6,0.0401,0.1153,0.4078
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,7,0.1868,0.1093,0.3843
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,8,-0.1515,-0.1639,0.4196
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,9,-0.0592,-0.044,0.1647
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,10,0.0267,-0.0673,0.2549
DJI_20220410132206_0010_T_JPG.rf.9d567f934376e3593b7435039bc89dda.jpg,11,0.0356,-0.1332,0.3451
DJI_20220410132209_0011_T_JPG.rf.bca81bd6ada9ddd0f9c9c4317c2ab6b3.jpg,1,-0.0885,-0.0422,0.2431
DJI_20220410132209_0011_T_JPG.rf.bca81bd6ada9ddd0f9c9c4317c2ab6b3.jpg,2,0.0269,-0.0463,0.2824
DJI_20220410132209_0011_T_JPG.rf.bca81bd6ada9ddd0f9c9c4317c2ab6b3.jpg,3,-0.0936,0.0028,0.2549
DJI_20220410132209_0011_T_JPG.rf.bca81bd6ada9ddd0f9c9c4317c2ab6b3.jpg,4,0.0191,0.0034,0.2
DJI_20220410132209_0011_T_JPG.rf.bca81bd6ada9ddd0f9c9c4317c2ab6b3.jpg,5,-0.1642,-0.155,0.451
